schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
12/11/1966,1966,15,MIA,KC,Orange Bowl,,,,,,,,18,19,FALSE,FALSE,19661211KCMIA,,,,,
12/11/1966,1966,14,NYG,PIT,Yankee Stadium,,,,54 degrees-  humidity 79%- wind 15 mph,54,15,79,28,47,FALSE,FALSE,19661211PITNYG,,,,,
12/11/1966,1966,15,OAK,DEN,Oakland Coliseum,,,,,,,,28,10,FALSE,FALSE,19661211DENOAK,,,,,
12/11/1966,1966,14,PHI,CLE,Franklin Field,,,,53 degrees-  humidity 74%- wind 15 mph,53,15,74,33,21,FALSE,FALSE,19661211CLEPHI,,,,,
12/11/1966,1966,15,LAC,NYJ,Balboa Stadium,,,,,,,,42,27,FALSE,FALSE,19661211NYJLAC,,,,,
12/11/1966,1966,14,SF,CHI,Kezar Stadium,,,,52 degrees-  humidity 71%- wind 6 mph,52,6,71,41,14,FALSE,FALSE,19661211CHISF,,,,,
12/17/1966,1966,16,NYJ,NE,Shea Stadium,,,,,,,,38,28,FALSE,FALSE,19661217NENYJ,,,,,
12/17/1966,1966,15,ARI,CLE,Busch Memorial Stadium,,,,39 degrees-  humidity 79%- wind 8 mph,39,8,79,10,38,FALSE,FALSE,19661217CLEARI,,,,,
12/18/1966,1966,15,ATL,PIT,Atlanta-Fulton County Stadium,,,,47 degrees-  humidity 77%- wind 8 mph,47,8,77,33,57,FALSE,FALSE,19661218PITATL,,,,,
12/18/1966,1966,16,BUF,DEN,War Memorial Stadium,,,,,,,,38,21,FALSE,FALSE,19661218DENBUF,,,,,
